Year;Parameter;DT;RF;CatBoost;XGBoost;LightGBM;LR
2008;criterion;gini;entropy;;;;
2008;max_depth;9;;;3.0;-1.0;
2008;min_samples_leaf;2;;;;;
2008;min_samples_split;2;;;;;
2008;splitter;best;;;;;
2008;n_estimators;;50;;50.0;50.0;
2008;depth;;;5.0;;;
2008;l2_leaf_reg;;;1.0;;;
2008;iterations;;;50.0;;;
2008;learning_rate;;;0.3;0.3;0.1;
2008;colsample_bytree;;;;1.0;0.75;
2008;min_child_weight;;;;3.0;10.0;
2008;subsample;;;;0.5;0.5;
2008;C;;;;;;0.11223392310869344
2008;solver;;;;;;saga
2009;criterion;gini;entropy;;;;
2009;max_depth;;;;7.0;3.0;
2009;min_samples_leaf;1;;;;;
2009;min_samples_split;3;;;;;
2009;splitter;best;;;;;
2009;n_estimators;;150;;50.0;150.0;
2009;depth;;;7.0;;;
2009;l2_leaf_reg;;;9.0;;;
2009;iterations;;;50.0;;;
2009;learning_rate;;;0.2;0.3;0.3;
2009;colsample_bytree;;;;1.0;0.75;
2009;min_child_weight;;;;1.0;0.001;
2009;subsample;;;;1.0;0.5;
2009;C;;;;;;0.12186113483986626
2009;solver;;;;;;liblinear
2010;criterion;gini;entropy;;;;
2010;max_depth;;;;5.0;7.0;
2010;min_samples_leaf;3;;;;;
2010;min_samples_split;2;;;;;
2010;splitter;random;;;;;
2010;n_estimators;;100;;150.0;150.0;
2010;depth;;;7.0;;;
2010;l2_leaf_reg;;;9.0;;;
2010;iterations;;;150.0;;;
2010;learning_rate;;;0.1;0.3;0.3;
2010;colsample_bytree;;;;0.5;0.75;
2010;min_child_weight;;;;1.0;0.1;
2010;subsample;;;;0.75;0.5;
2010;C;;;;;;0.012583537192436252
2010;solver;;;;;;saga
